Project name,chemical_mapping,,No.,Label name,Analysis date,Class name,X-axis [mm],Y-axis [mm],Area [um²],Area % [%],Maximum length [um],Breadth [um],Aspect ratio,Roundness,Heywood diameter [um],Feret diameter H. [um],Feret diameter V. [um],Max. chord H. [um],Max. chord V. [um],Orientation [degree],Perimeter [um],Maximum diameter [um],Minimum diameter [um],Mean diameter [um],Width of DMAX [um],B [Mass%],C [Mass%],O [Mass%],F [Mass%],Mg [Mass%],Al [Mass%],Si [Mass%],P [Mass%],K [Mass%],Ti [Mass%],V [Mass%],Cr [Mass%],Fe [Mass%],Ni [Mass%],Cu [Mass%],Zn [Mass%],Zr [Mass%],Ag [Mass%],La [Mass%]
Acquisition date,2025/07/09 03:02,,1,Stub1-1-1,2025/07/08 13:50,,1.9099,-3.4214,0.094,0.001,0.637,0.214,2.974,0.446,0.345,0.625,0.188,0.625,0.188,6.340,1.625,0.625,0.188,0.312,0.188,,6.724,,,,91.259,,,,,,,2.017,,,,,,
,,,2,Stub1-1-2,2025/07/08 13:50,,1.9029,-3.4209,0.898,0.007,2.531,0.623,4.060,0.188,1.070,2.125,1.438,0.938,0.563,32.471,7.750,2.481,0.158,0.832,0.175,,7.085,1.005,,,85.396,,,,,,,6.513,,,,,,
Stub name,All stubs,,3,Stub1-1-3,2025/07/08 13:50,,1.8929,-3.4213,0.188,0.002,0.713,0.413,1.728,0.522,0.489,0.563,0.500,0.500,0.500,36.870,2.125,0.677,0.337,0.475,0.376,,5.790,,,,91.251,,,,,,,2.959,,,,,,
Analysis reservation area [mm²],0.11,,4,Stub1-1-4,2025/07/08 13:50,,1.8902,-3.4214,0.145,0.001,0.576,0.404,1.428,0.517,0.429,0.563,0.375,0.563,0.375,172.875,1.875,0.541,0.319,0.414,0.338,,6.426,,,,89.861,,,,,,,3.713,,,,,,
Analysis reservation views,9,,5,Stub1-1-5,2025/07/08 13:50,,1.8844,-3.4214,0.207,0.002,1.141,0.307,3.713,0.344,0.513,1.125,0.250,1.125,0.250,6.710,2.750,0.961,0.250,0.447,0.255,,7.482,0.949,,,86.822,,,,,,,4.746,,,,,,
Analyzed area [mm²],0.11,,6,Stub1-1-6,2025/07/08 13:51,,1.8825,-3.4211,0.242,0.002,0.954,0.508,1.878,0.338,0.555,0.688,0.813,0.438,0.438,59.744,3.000,0.900,0.203,0.495,0.226,,7.137,,,,89.379,,,,,,,3.484,,,,,,
Analyzed views,9,,7,Stub1-1-7,2025/07/08 13:51,,1.9163,-3.4213,0.176,0.001,0.834,0.340,2.453,0.436,0.473,0.813,0.313,0.813,0.313,9.462,2.250,0.813,0.250,0.439,0.250,,7.533,0.905,,,86.376,,,,,,,5.068,,0.118,,,,
Acquisition time,13:13:43,,8,Stub1-1-8,2025/07/08 13:51,,1.9561,-3.4207,0.199,0.002,0.653,0.483,1.352,0.554,0.504,0.625,0.438,0.563,0.438,12.529,2.125,0.637,0.438,0.499,0.446,,7.065,0.820,,,86.481,,,,,,,5.635,,,,,,
Particles:,,,9,Stub1-1-9,2025/07/08 13:51,,1.9509,-3.4206,0.156,0.001,0.763,0.323,2.365,0.388,0.446,0.625,0.500,0.375,0.313,33.690,2.250,0.707,0.221,0.417,0.221,,7.478,0.820,,,88.355,,,,,,,3.100,,0.248,,,,
Summary,3701,,10,Stub1-1-10,2025/07/08 13:51,,1.9682,-3.4205,0.105,0.001,0.616,0.333,1.848,0.502,0.366,0.563,0.250,0.563,0.188,159.444,1.625,0.574,0.188,0.339,0.191,,6.379,0.819,,,91.399,,,,,,,1.403,,,,,,
Unknown,3701,,11,Stub1-1-11,2025/07/08 13:52,,1.8890,-3.4203,0.133,0.001,0.676,0.288,2.349,0.417,0.411,0.438,0.563,0.313,0.438,57.995,2.000,0.619,0.203,0.390,0.257,,7.091,0.871,,,86.738,,,,,,,5.301,,,,,,
,,,12,Stub1-1-12,2025/07/08 13:52,,2.0057,-3.4198,0.078,0.001,0.576,0.359,1.607,0.174,0.315,0.500,0.438,0.438,0.250,50.194,2.375,0.530,0.108,0.316,0.194,,6.458,,,,91.322,,,,,,,2.220,,,,,,
Stub name,Stub1,,13,Stub1-1-13,2025/07/08 13:52,,2.0043,-3.4190,0.656,0.005,2.519,0.797,3.162,0.137,0.914,1.813,1.875,0.688,1.063,43.958,7.750,2.475,0.244,0.747,0.260,,6.033,,,,91.242,,,,,,,2.526,,0.199,,,,
ViewsMagnification,×1000,,14,Stub1-1-14,2025/07/08 13:52,,1.9656,-3.4196,0.090,0.001,0.590,0.256,2.300,0.369,0.338,0.500,0.375,0.375,0.250,29.745,1.750,0.541,0.205,0.322,0.205,,6.867,0.778,,,88.199,,,,,,,4.019,,0.137,,,,
X size [mm],0.384,,15,Stub1-1-15,2025/07/08 13:53,,1.9911,-3.4189,0.508,0.004,1.194,0.942,1.267,0.140,0.804,0.938,1.000,0.813,0.875,47.291,6.750,1.125,0.765,0.874,0.854,,6.258,,,,89.002,,,,,,,4.739,,,,,,
Y size [mm],0.288,,16,Stub1-1-16,2025/07/08 13:53,,1.8878,-3.4191,0.391,0.003,0.901,0.666,1.352,0.503,0.705,0.750,0.750,0.688,0.688,32.471,3.125,0.827,0.566,0.697,0.626,,7.803,,,,83.610,,,,,,,8.587,,,,,,
Analysis reservation area [mm²],0.11,,17,Stub1-1-17,2025/07/08 13:53,,1.9711,-3.4190,0.809,0.007,1.463,0.833,1.756,0.450,1.015,1.438,0.813,1.438,0.750,18.435,4.750,1.438,0.677,0.977,0.688,,7.581,1.306,,,81.801,,,,,,,9.312,,,,,,
Analysis reservation views,9,,18,Stub1-1-18,2025/07/08 13:53,,1.8938,-3.4186,0.164,0.001,0.590,0.427,1.381,0.586,0.457,0.438,0.500,0.438,0.500,60.255,1.875,0.562,0.342,0.447,0.376,,7.470,1.045,,,85.055,,,,,,,6.311,,0.119,,,,
Analyzed area [mm²],0.11,,19,Stub1-1-19,2025/07/08 13:53,,1.9206,-3.4179,0.855,0.007,1.305,1.020,1.279,0.503,1.044,1.250,0.938,1.250,0.938,165.256,4.625,1.274,0.884,1.026,0.892,,7.123,0.844,,,85.765,,,,,,,6.268,,,,,,
Analyzed views,9,,20,Stub1-1-20,2025/07/08 13:54,,1.9830,-3.4177,1.102,0.009,1.707,0.923,1.849,0.479,1.184,1.563,1.063,1.438,0.938,22.620,5.375,1.691,0.755,1.150,0.755,,8.077,,,,80.489,,,,,,,11.434,,,,,,
Acquisition time,13:13:43,,21,Stub1-1-21,2025/07/08 13:54,,1.9399,-3.4178,0.129,0.001,0.664,0.347,1.913,0.461,0.405,0.500,0.438,0.500,0.313,40.601,1.875,0.619,0.190,0.385,0.190,,7.422,1.041,,,85.949,,,,,,,5.119,0.298,0.171,,,,
Particles:,,,22,Stub1-1-22,2025/07/08 13:54,,1.9394,-3.4177,0.152,0.001,0.676,0.447,1.513,0.424,0.440,0.563,0.438,0.375,0.438,32.005,2.125,0.660,0.319,0.433,0.355,,6.962,,,,90.238,,,,,,,2.800,,,,,,
Summary,3701,,23,Stub1-1-23,2025/07/08 13:54,,1.9890,-3.4173,0.145,0.001,0.538,0.409,1.314,0.593,0.429,0.438,0.438,0.438,0.438,33.690,1.750,0.509,0.351,0.427,0.351,,7.710,0.783,,,86.919,,,,,,,4.588,,,,,,
Unknown,3701,,24,Stub1-1-24,2025/07/08 13:54,,1.8950,-3.4168,0.676,0.005,1.258,0.964,1.305,0.246,0.928,1.125,1.000,1.000,1.000,25.201,5.875,1.128,0.707,0.933,0.836,,6.182,0.690,,,86.264,,,,,,,6.384,0.331,0.149,,,,
,,,25,Stub1-1-25,2025/07/08 13:55,,1.9377,-3.4166,0.375,0.003,1.512,0.473,3.194,0.179,0.691,1.375,0.813,0.813,0.438,28.811,5.125,1.488,0.119,0.532,0.211,,6.345,,,,91.627,,,,,,,2.029,,,,,,
,,,26,Stub1-1-26,2025/07/08 13:55,,1.9881,-3.4165,0.363,0.003,0.954,0.548,1.740,0.467,0.680,0.688,0.875,0.625,0.813,59.744,3.125,0.902,0.338,0.647,0.338,,7.450,1.143,,,84.496,,,,,,,6.912,,,,,,
,,,27,Stub1-1-27,2025/07/08 13:55,,1.9581,-3.4165,0.223,0.002,0.732,0.577,1.267,0.199,0.532,0.688,0.563,0.688,0.563,163.301,3.750,0.701,0.396,0.540,0.574,,6.346,,,,89.098,,,,,,,4.556,,,,,,
,,,28,Stub1-1-28,2025/07/08 13:55,,1.9642,-3.4165,0.176,0.001,0.576,0.458,1.259,0.489,0.473,0.563,0.438,0.563,0.438,172.875,2.125,0.574,0.382,0.471,0.382,,7.096,0.832,,,87.129,,,,,,,4.943,,,,,,
,,,29,Stub1-1-29,2025/07/08 13:56,,1.9064,-3.4157,0.805,0.007,1.985,0.636,3.122,0.281,1.012,1.188,1.750,0.625,1.250,62.592,6.000,1.908,0.319,0.872,0.451,,7.698,1.130,,,84.231,,,,,,,6.941,,,,,,
,,,30,Stub1-1-30,2025/07/08 13:56,,1.9474,-3.4158,2.055,0.017,1.876,1.533,1.224,0.546,1.617,1.813,1.500,1.813,1.438,150.751,6.875,1.848,1.313,1.625,1.402,,7.575,1.458,,,75.255,,,,,,,15.163,0.385,0.165,,,,
,,,31,Stub1-1-31,2025/07/08 13:56,,1.9277,-3.4160,0.395,0.003,1.287,0.456,2.824,0.330,0.709,1.125,0.813,0.750,0.500,27.897,3.875,1.203,0.337,0.648,0.337,,7.147,0.923,,,85.941,,,,,,,5.989,,,,,,
,,,32,Stub1-1-32,2025/07/08 13:56,,1.9518,-3.4157,0.742,0.006,1.202,0.960,1.253,0.461,0.972,1.000,1.188,0.875,1.188,83.660,4.500,1.128,0.744,0.956,0.907,,7.980,1.103,,,81.706,,,,,,,9.104,,0.107,,,,
,,,33,Stub1-1-33,2025/07/08 13:56,,1.8840,-3.4161,0.160,0.001,0.673,0.359,1.875,0.572,0.452,0.625,0.313,0.625,0.313,161.565,1.875,0.637,0.313,0.433,0.319,,7.675,0.932,,,85.987,,,,,,,5.405,,,,,,
,,,34,Stub1-1-34,2025/07/08 13:57,,1.9740,-3.4157,0.297,0.002,1.207,0.388,3.108,0.284,0.615,1.125,0.625,0.813,0.375,19.440,3.625,1.150,0.255,0.563,0.271,,7.662,1.008,,,85.333,,,,,,,5.996,,,,,,
,,,35,Stub1-1-35,2025/07/08 13:57,,1.9858,-3.4155,0.203,0.002,0.616,0.479,1.284,0.565,0.509,0.500,0.563,0.500,0.563,69.444,2.125,0.574,0.438,0.504,0.446,,7.689,1.029,,,84.491,,,,,,,6.792,,,,,,
,,,36,Stub1-1-36,2025/07/08 13:57,,1.9286,-3.4152,0.242,0.002,0.732,0.494,1.482,0.601,0.555,0.688,0.438,0.688,0.438,16.699,2.250,0.701,0.438,0.547,0.446,,6.947,,,,88.679,,,,,,,4.374,,,,,,
,,,37,Stub1-1-37,2025/07/08 13:57,,1.9266,-3.4149,0.102,0.001,0.534,0.294,1.815,0.567,0.360,0.250,0.500,0.250,0.500,74.055,1.500,0.510,0.203,0.342,0.206,,6.883,,,,90.259,,,,,,,2.711,,0.147,,,,
,,,38,Stub1-1-38,2025/07/08 13:57,,1.9854,-3.4140,1.605,0.013,1.769,1.393,1.270,0.610,1.430,1.563,1.313,1.563,1.250,148.671,5.750,1.729,1.218,1.424,1.278,,8.584,1.298,,,78.201,,,,,,,11.325,0.346,0.246,,,,
,,,39,Stub1-1-39,2025/07/08 13:58,,1.9725,-3.4142,0.469,0.004,1.233,0.570,2.163,0.346,0.773,1.125,0.750,1.000,0.625,29.358,4.125,1.203,0.376,0.727,0.376,,7.261,0.995,,,86.894,,,,,,,4.850,,,,,,
,,,40,Stub1-1-40,2025/07/08 13:58,,1.8834,-3.4139,0.773,0.006,1.398,0.844,1.655,0.454,0.992,1.250,0.938,1.125,0.813,25.346,4.625,1.315,0.744,0.969,0.752,,6.868,0.815,,,85.484,,,,,,,6.833,,,,,,
,,,41,Stub1-1-41,2025/07/08 13:58,,1.9677,-3.4139,0.148,0.001,0.534,0.414,1.288,0.609,0.435,0.500,0.375,0.500,0.375,164.055,1.750,0.510,0.375,0.430,0.382,,7.882,0.915,,,85.681,,,,,,,5.522,,,,,,
,,,42,Stub1-1-42,2025/07/08 13:58,,1.9560,-3.4139,0.180,0.001,0.732,0.368,1.989,0.565,0.478,0.688,0.313,0.688,0.313,16.699,2.000,0.701,0.300,0.452,0.319,,7.829,1.060,,,85.560,,,,,,,5.427,,0.125,,,,
,,,43,Stub1-1-43,2025/07/08 13:58,,1.9915,-3.4135,0.621,0.005,1.201,0.775,1.549,0.385,0.889,1.000,1.063,0.875,0.938,51.843,4.500,1.128,0.707,0.894,0.719,,6.322,0.816,,,85.786,,,,,,,7.076,,,,,,
,,,44,Stub1-1-44,2025/07/08 13:59,,1.8868,-3.4136,0.457,0.004,0.910,0.714,1.275,0.588,0.763,0.875,0.688,0.875,0.688,12.995,3.125,0.892,0.653,0.760,0.701,,8.087,1.130,,,81.741,,,,,,,8.839,,0.203,,,,
,,,45,Stub1-1-45,2025/07/08 13:59,,1.9387,-3.4133,0.191,0.002,0.732,0.386,1.896,0.475,0.494,0.688,0.438,0.625,0.375,16.699,2.250,0.701,0.313,0.478,0.319,,7.568,1.001,,,85.886,,,,,,,5.544,,,,,,
,,,46,Stub1-1-46,2025/07/08 13:59,,1.9784,-3.4124,1.262,0.010,1.953,1.035,1.887,0.375,1.267,1.313,1.750,0.938,1.563,50.440,6.500,1.858,0.518,1.163,0.518,,7.113,,,,84.169,,,,,,,8.718,,,,,,
,,,47,Stub1-1-47,2025/07/08 13:59,,1.8790,-3.4127,0.266,0.002,1.106,0.423,2.612,0.342,0.582,0.750,0.813,0.500,0.500,47.490,3.125,1.061,0.376,0.549,0.435,,7.407,0.763,,,86.593,,,,,,,5.236,,,,,,
,,,48,Stub1-1-48,2025/07/08 14:00,,1.9232,-3.4129,0.184,0.001,0.593,0.472,1.257,0.577,0.483,0.563,0.438,0.563,0.438,165.964,2.000,0.574,0.438,0.481,0.446,,7.078,0.903,,,86.700,,,,,,,5.319,,,,,,
,,,49,Stub1-1-49,2025/07/08 14:00,,1.8898,-3.4123,0.238,0.002,1.093,0.357,3.062,0.283,0.551,0.938,0.688,0.563,0.313,29.745,3.250,1.033,0.191,0.478,0.225,,7.414,1.236,,,85.935,,,,,,,5.415,,,,,,
,,,50,Stub1-1-50,2025/07/08 14:00,,1.9017,-3.4120,0.129,0.001,0.590,0.334,1.766,0.461,0.405,0.438,0.500,0.375,0.438,119.745,1.875,0.541,0.226,0.384,0.271,,8.068,,,,89.298,,,,,,,2.634,,,,,,
,,,51,Stub1-1-51,2025/07/08 14:00,,1.9672,-3.4116,0.148,0.001,0.637,0.332,1.922,0.531,0.435,0.313,0.625,0.313,0.563,83.660,1.875,0.574,0.313,0.422,0.319,,7.159,,,,90.672,,,,,,,2.169,,,,,,
,,,52,Stub1-1-52,2025/07/08 14:00,,1.9249,-3.4114,0.391,0.003,0.988,0.586,1.686,0.401,0.705,0.938,0.688,0.875,0.563,15.945,3.500,0.977,0.407,0.682,0.407,,6.781,,,,89.616,,,,,,,3.603,,,,,,
,,,53,Stub1-1-53,2025/07/08 14:01,,1.9584,-3.4111,0.449,0.004,1.464,0.678,2.159,0.279,0.756,1.188,1.000,0.688,0.688,140.528,4.500,1.326,0.360,0.695,0.360,,6.506,,,,89.603,,,,,,,3.891,,,,,,
